open_datetime,open,high,low,close
2023-02-24 12:00:00,1647.43,1654.76,1644.23,1645.11
2023-02-24 13:00:00,1645.11,1648.09,1632.0,1635.24
2023-02-24 14:00:00,1635.23,1640.98,1629.57,1636.6
2023-02-24 15:00:00,1636.59,1638.76,1599.43,1602.94
2023-02-24 16:00:00,1602.94,1602.94,1575.64,1593.33
2023-02-24 17:00:00,1593.33,1597.51,1588.67,1593.42
2023-02-24 18:00:00,1593.41,1599.42,1588.86,1596.16
2023-02-24 19:00:00,1596.15,1611.66,1585.57,1610.84
2023-02-24 20:00:00,1610.83,1622.87,1607.08,1611.36
2023-02-24 21:00:00,1611.36,1611.83,1600.66,1602.55
2023-02-24 22:00:00,1602.55,1609.39,1594.0,1604.88
2023-02-24 23:00:00,1604.88,1611.37,1599.42,1607.8
2023-02-25 00:00:00,1607.8,1608.98,1602.5,1605.02
2023-02-25 01:00:00,1605.02,1608.42,1603.4,1605.57
2023-02-25 02:00:00,1605.57,1607.78,1595.15,1598.3
2023-02-25 03:00:00,1598.3,1602.58,1597.71,1598.52
2023-02-25 04:00:00,1598.53,1602.07,1597.01,1601.67
2023-02-25 05:00:00,1601.67,1601.68,1593.95,1595.78
2023-02-25 06:00:00,1595.78,1601.11,1595.78,1600.75
2023-02-25 07:00:00,1600.74,1604.37,1599.73,1603.99
2023-02-25 08:00:00,1603.99,1607.56,1602.93,1603.56
2023-02-25 09:00:00,1603.57,1605.31,1599.41,1601.89
2023-02-25 10:00:00,1601.88,1602.32,1596.0,1596.48
2023-02-25 11:00:00,1596.49,1602.52,1596.07,1600.05
2023-02-25 12:00:00,1600.05,1602.87,1592.46,1602.64
2023-02-25 13:00:00,1602.65,1603.84,1599.02,1599.03
2023-02-25 14:00:00,1599.03,1601.67,1596.26,1597.31
2023-02-25 15:00:00,1597.32,1600.0,1594.28,1597.06
2023-02-25 16:00:00,1597.06,1600.92,1595.23,1596.46
2023-02-25 17:00:00,1596.46,1598.83,1595.62,1598.05
2023-02-25 18:00:00,1598.05,1598.5,1583.6,1586.28
2023-02-25 19:00:00,1586.28,1590.58,1576.02,1584.61
2023-02-25 20:00:00,1584.62,1586.88,1557.33,1572.2
2023-02-25 21:00:00,1572.19,1575.73,1564.61,1574.58
2023-02-25 22:00:00,1574.58,1593.24,1571.68,1591.71
2023-02-25 23:00:00,1591.72,1597.32,1589.35,1594.58
2023-02-26 00:00:00,1594.58,1594.77,1590.31,1591.0
2023-02-26 01:00:00,1590.99,1594.06,1590.03,1592.01
2023-02-26 02:00:00,1592.01,1604.43,1587.76,1603.82
2023-02-26 03:00:00,1603.82,1606.21,1600.21,1602.75
2023-02-26 04:00:00,1602.75,1603.31,1598.89,1600.99
2023-02-26 05:00:00,1600.99,1602.18,1598.74,1598.74
2023-02-26 06:00:00,1598.74,1600.12,1595.61,1600.11
2023-02-26 07:00:00,1600.11,1603.24,1599.32,1599.84
2023-02-26 08:00:00,1599.85,1601.06,1597.19,1600.31
2023-02-26 09:00:00,1600.31,1607.0,1600.15,1604.84
2023-02-26 10:00:00,1604.84,1605.01,1601.34,1602.35
2023-02-26 11:00:00,1602.35,1602.75,1600.79,1601.49
